template_row,signal_index,file,modulation,seed,label_style,bits_len,number_of_samples
0,240,BPSK_hwLike_8sym_fs1MHz_ex01_s240.mat,BPSK,4240,advanced,4096,4096
0,241,BPSK_hwLike_8sym_fs1MHz_ex01_s241.mat,BPSK,4241,less_advanced,4096,4096
0,242,BPSK_hwLike_8sym_fs1MHz_ex01_s242.mat,BPSK,4242,simple,4096,4096
0,243,BPSK_hwLike_8sym_fs1MHz_ex01_s243.mat,BPSK,4243,advanced,4096,4096
0,244,BPSK_hwLike_8sym_fs1MHz_ex01_s244.mat,BPSK,4244,less_advanced,4096,4096
0,245,BPSK_hwLike_8sym_fs1MHz_ex01_s245.mat,BPSK,4245,simple,4096,4096
0,246,BPSK_hwLike_8sym_fs1MHz_ex01_s246.mat,BPSK,4246,advanced,4096,4096
0,247,BPSK_hwLike_8sym_fs1MHz_ex01_s247.mat,BPSK,4247,less_advanced,4096,4096
0,248,BPSK_hwLike_8sym_fs1MHz_ex01_s248.mat,BPSK,4248,simple,4096,4096
0,249,BPSK_hwLike_8sym_fs1MHz_ex01_s249.mat,BPSK,4249,advanced,4096,4096
0,250,BPSK_hwLike_8sym_fs1MHz_ex01_s250.mat,BPSK,4250,less_advanced,4096,4096
0,251,BPSK_hwLike_8sym_fs1MHz_ex01_s251.mat,BPSK,4251,simple,4096,4096
0,252,BPSK_hwLike_8sym_fs1MHz_ex01_s252.mat,BPSK,4252,advanced,4096,4096
0,253,BPSK_hwLike_8sym_fs1MHz_ex01_s253.mat,BPSK,4253,less_advanced,4096,4096
0,254,BPSK_hwLike_8sym_fs1MHz_ex01_s254.mat,BPSK,4254,simple,4096,4096
0,255,BPSK_hwLike_8sym_fs1MHz_ex01_s255.mat,BPSK,4255,advanced,4096,4096
0,256,BPSK_hwLike_8sym_fs1MHz_ex01_s256.mat,BPSK,4256,less_advanced,4096,4096
0,257,BPSK_hwLike_8sym_fs1MHz_ex01_s257.mat,BPSK,4257,simple,4096,4096
0,258,BPSK_hwLike_8sym_fs1MHz_ex01_s258.mat,BPSK,4258,advanced,4096,4096
0,259,BPSK_hwLike_8sym_fs1MHz_ex01_s259.mat,BPSK,4259,less_advanced,4096,4096
0,260,BPSK_hwLike_8sym_fs1MHz_ex01_s260.mat,BPSK,4260,simple,4096,4096
0,261,BPSK_hwLike_8sym_fs1MHz_ex01_s261.mat,BPSK,4261,advanced,4096,4096
0,262,BPSK_hwLike_8sym_fs1MHz_ex01_s262.mat,BPSK,4262,less_advanced,4096,4096
0,263,BPSK_hwLike_8sym_fs1MHz_ex01_s263.mat,BPSK,4263,simple,4096,4096
0,264,BPSK_hwLike_8sym_fs1MHz_ex01_s264.mat,BPSK,4264,advanced,4096,4096
0,265,BPSK_hwLike_8sym_fs1MHz_ex01_s265.mat,BPSK,4265,less_advanced,4096,4096
0,266,BPSK_hwLike_8sym_fs1MHz_ex01_s266.mat,BPSK,4266,simple,4096,4096
0,267,BPSK_hwLike_8sym_fs1MHz_ex01_s267.mat,BPSK,4267,advanced,4096,4096
0,268,BPSK_hwLike_8sym_fs1MHz_ex01_s268.mat,BPSK,4268,less_advanced,4096,4096
0,269,BPSK_hwLike_8sym_fs1MHz_ex01_s269.mat,BPSK,4269,simple,4096,4096
0,270,BPSK_hwLike_8sym_fs1MHz_ex01_s270.mat,BPSK,4270,advanced,4096,4096
0,271,BPSK_hwLike_8sym_fs1MHz_ex01_s271.mat,BPSK,4271,less_advanced,4096,4096
0,272,BPSK_hwLike_8sym_fs1MHz_ex01_s272.mat,BPSK,4272,simple,4096,4096
0,273,BPSK_hwLike_8sym_fs1MHz_ex01_s273.mat,BPSK,4273,advanced,4096,4096
0,274,BPSK_hwLike_8sym_fs1MHz_ex01_s274.mat,BPSK,4274,less_advanced,4096,4096
0,275,BPSK_hwLike_8sym_fs1MHz_ex01_s275.mat,BPSK,4275,simple,4096,4096
0,276,BPSK_hwLike_8sym_fs1MHz_ex01_s276.mat,BPSK,4276,advanced,4096,4096
0,277,BPSK_hwLike_8sym_fs1MHz_ex01_s277.mat,BPSK,4277,less_advanced,4096,4096
0,278,BPSK_hwLike_8sym_fs1MHz_ex01_s278.mat,BPSK,4278,simple,4096,4096
0,279,BPSK_hwLike_8sym_fs1MHz_ex01_s279.mat,BPSK,4279,advanced,4096,4096
0,280,BPSK_hwLike_8sym_fs1MHz_ex01_s280.mat,BPSK,4280,less_advanced,4096,4096
0,281,BPSK_hwLike_8sym_fs1MHz_ex01_s281.mat,BPSK,4281,simple,4096,4096
0,282,BPSK_hwLike_8sym_fs1MHz_ex01_s282.mat,BPSK,4282,advanced,4096,4096
0,283,BPSK_hwLike_8sym_fs1MHz_ex01_s283.mat,BPSK,4283,less_advanced,4096,4096
0,284,BPSK_hwLike_8sym_fs1MHz_ex01_s284.mat,BPSK,4284,simple,4096,4096
0,285,BPSK_hwLike_8sym_fs1MHz_ex01_s285.mat,BPSK,4285,advanced,4096,4096
0,286,BPSK_hwLike_8sym_fs1MHz_ex01_s286.mat,BPSK,4286,less_advanced,4096,4096
0,287,BPSK_hwLike_8sym_fs1MHz_ex01_s287.mat,BPSK,4287,simple,4096,4096
0,288,BPSK_hwLike_8sym_fs1MHz_ex01_s288.mat,BPSK,4288,advanced,4096,4096
0,289,BPSK_hwLike_8sym_fs1MHz_ex01_s289.mat,BPSK,4289,less_advanced,4096,4096
0,290,BPSK_hwLike_8sym_fs1MHz_ex01_s290.mat,BPSK,4290,simple,4096,4096
0,291,BPSK_hwLike_8sym_fs1MHz_ex01_s291.mat,BPSK,4291,advanced,4096,4096
0,292,BPSK_hwLike_8sym_fs1MHz_ex01_s292.mat,BPSK,4292,less_advanced,4096,4096
0,293,BPSK_hwLike_8sym_fs1MHz_ex01_s293.mat,BPSK,4293,simple,4096,4096
0,294,BPSK_hwLike_8sym_fs1MHz_ex01_s294.mat,BPSK,4294,advanced,4096,4096
0,295,BPSK_hwLike_8sym_fs1MHz_ex01_s295.mat,BPSK,4295,less_advanced,4096,4096
0,296,BPSK_hwLike_8sym_fs1MHz_ex01_s296.mat,BPSK,4296,simple,4096,4096
0,297,BPSK_hwLike_8sym_fs1MHz_ex01_s297.mat,BPSK,4297,advanced,4096,4096
0,298,BPSK_hwLike_8sym_fs1MHz_ex01_s298.mat,BPSK,4298,less_advanced,4096,4096
0,299,BPSK_hwLike_8sym_fs1MHz_ex01_s299.mat,BPSK,4299,simple,4096,4096
1,240,QPSK_hwLike_8sym_fs1MHz_ex01_s240.mat,QPSK,5240,advanced,8192,4096
1,241,QPSK_hwLike_8sym_fs1MHz_ex01_s241.mat,QPSK,5241,less_advanced,8192,4096
1,242,QPSK_hwLike_8sym_fs1MHz_ex01_s242.mat,QPSK,5242,simple,8192,4096
1,243,QPSK_hwLike_8sym_fs1MHz_ex01_s243.mat,QPSK,5243,advanced,8192,4096
1,244,QPSK_hwLike_8sym_fs1MHz_ex01_s244.mat,QPSK,5244,less_advanced,8192,4096
